Tamano;Distribucion;OE_Iter1;OE_IterInterp;Tiempo_iter1(s);Tiempo_iter_interp
0;vacio;4;3;0.00000030;0.00000020
1000;uniforme;7400;1600;0.00000004;0.00000001
1000;uniforme;6400;1600;0.00000004;0.00000001
1000;uniforme;7200;3100;0.00000004;0.00000002
1000;uniforme;7200;3300;0.00000004;0.00000002
1000;uniforme;7000;3300;0.00000004;0.00000001
1000;uniforme;6400;1800;0.00000004;0.00000001
5000;uniforme;9800;1600;0.00000005;0.00000001
5000;uniforme;8200;5200;0.00000005;0.00000002
5000;uniforme;9600;3700;0.00000005;0.00000002
5000;uniforme;9600;6700;0.00000005;0.00000003
5000;uniforme;9400;8600;0.00000005;0.00000004
5000;uniforme;8200;5400;0.00000005;0.00000003
10000;uniforme;10600;1600;0.00000005;0.00000001
10000;uniforme;8800;5200;0.00000005;0.00000003
10000;uniforme;10400;8400;0.00000005;0.00000004
10000;uniforme;10400;7300;0.00000005;0.00000003
10000;uniforme;10200;9900;0.00000005;0.00000006
10000;uniforme;8800;7500;0.00000005;0.00000003
50000;uniforme;12200;1600;0.00000006;0.00000001
50000;uniforme;10000;7900;0.00000007;0.00000004
50000;uniforme;12000;3700;0.00000006;0.00000002
50000;uniforme;12000;15200;0.00000006;0.00000007
50000;uniforme;11800;10700;0.00000006;0.00000005
50000;uniforme;10000;32900;0.00000007;0.00000014
100000;uniforme;13000;1600;0.00000006;0.00000001
100000;uniforme;10600;10900;0.00000008;0.00000005
100000;uniforme;12800;3700;0.00000006;0.00000002
100000;uniforme;12800;6000;0.00000006;0.00000002
100000;uniforme;12600;18600;0.00000006;0.00000009
100000;uniforme;10600;38000;0.00000007;0.00000016
500000;uniforme;14600;1600;0.00000007;0.00000001
500000;uniforme;11800;13000;0.00000007;0.00000006
500000;uniforme;14400;16400;0.00000006;0.00000007
500000;uniforme;14400;17900;0.00000007;0.00000010
500000;uniforme;13400;17900;0.00000008;0.00000008
500000;uniforme;11800;42200;0.00000007;0.00000017
1000000;uniforme;15400;1600;0.00000007;0.00000001
1000000;uniforme;12400;16600;0.00000007;0.00000007
1000000;uniforme;1000;18300;0.00000001;0.00000007
1000000;uniforme;15200;20400;0.00000007;0.00000008
1000000;uniforme;15000;18300;0.00000008;0.00000007
1000000;uniforme;12400;45800;0.00000007;0.00000019
5000000;uniforme;16200;1600;0.00000008;0.00000001
5000000;uniforme;12400;18700;0.00000007;0.00000009
5000000;uniforme;1000;2200;0.00000001;0.00000001
5000000;uniforme;1800;22100;0.00000001;0.00000010
5000000;uniforme;15800;23600;0.00000010;0.00000011
5000000;uniforme;14200;50100;0.00000008;0.00000020
10000000;uniforme;16200;1600;0.00000008;0.00000001
10000000;uniforme;13000;20200;0.00000008;0.00000009
10000000;uniforme;1000;2200;0.00000001;0.00000001
10000000;uniforme;1800;22100;0.00000001;0.00000010
10000000;uniforme;1600;21900;0.00000001;0.00000010
10000000;uniforme;14800;50700;0.00000008;0.00000021
1000;gaussiana;7400;1600;0.00000004;0.00000001
1000;gaussiana;6400;1600;0.00000004;0.00000001
1000;gaussiana;7200;6700;0.00000003;0.00000003
1000;gaussiana;7200;16900;0.00000003;0.00000008
1000;gaussiana;7000;16600;0.00000003;0.00000011
1000;gaussiana;6400;1800;0.00000004;0.00000001
5000;gaussiana;9800;1600;0.00000004;0.00000001
5000;gaussiana;8200;3700;0.00000005;0.00000002
5000;gaussiana;9600;15200;0.00000004;0.00000007
5000;gaussiana;9600;27100;0.00000005;0.00000012
5000;gaussiana;9400;32200;0.00000004;0.00000020
5000;gaussiana;8200;3900;0.00000005;0.00000002
10000;gaussiana;10600;1600;0.00000005;0.00000001
10000;gaussiana;8800;3700;0.00000005;0.00000002
10000;gaussiana;10400;3700;0.00000005;0.00000002
10000;gaussiana;10400;32800;0.00000004;0.00000014
10000;gaussiana;1600;38200;0.00000001;0.00000021
10000;gaussiana;8800;6000;0.00000005;0.00000002
50000;gaussiana;12200;1600;0.00000006;0.00000001
50000;gaussiana;10000;9400;0.00000006;0.00000004
50000;gaussiana;12000;3700;0.00000005;0.00000002
50000;gaussiana;12000;6000;0.00000005;0.00000002
50000;gaussiana;11000;53200;0.00000005;0.00000029
50000;gaussiana;10000;13800;0.00000006;0.00000005
100000;gaussiana;13000;1600;0.00000006;0.00000001
100000;gaussiana;10600;17500;0.00000006;0.00000007
100000;gaussiana;12800;13500;0.00000006;0.00000006
100000;gaussiana;12800;22800;0.00000006;0.00000009
100000;gaussiana;12600;5800;0.00000006;0.00000002
100000;gaussiana;10600;19800;0.00000006;0.00000009
500000;gaussiana;14600;1600;0.00000009;0.00000001
500000;gaussiana;11800;17200;0.00000007;0.00000007
500000;gaussiana;13600;19000;0.00000006;0.00000009
500000;gaussiana;14400;25800;0.00000007;0.00000013
500000;gaussiana;1600;18600;0.00000001;0.00000009
500000;gaussiana;11800;21600;0.00000007;0.00000008
1000000;gaussiana;15400;1600;0.00000007;0.00000001
1000000;gaussiana;12400;23800;0.00000007;0.00000011
1000000;gaussiana;1000;2200;0.00000001;0.00000001
1000000;gaussiana;15200;23000;0.00000007;0.00000011
1000000;gaussiana;14200;14900;0.00000006;0.00000006
1000000;gaussiana;12400;26700;0.00000007;0.00000011
5000000;gaussiana;17800;1600;0.00000009;0.00000001
5000000;gaussiana;14200;28000;0.00000008;0.00000012
5000000;gaussiana;1000;2200;0.00000001;0.00000001
5000000;gaussiana;1800;20200;0.00000001;0.00000009
5000000;gaussiana;1600;63300;0.00000001;0.00000032
5000000;gaussiana;14200;42000;0.00000010;0.00000019
10000000;gaussiana;18600;1600;0.00000009;0.00000001
10000000;gaussiana;14800;28600;0.00000009;0.00000011
10000000;gaussiana;1000;21300;0.00000001;0.00000009
10000000;gaussiana;1800;23800;0.00000001;0.00000010
10000000;gaussiana;1600;18900;0.00000001;0.00000008
10000000;gaussiana;14800;36600;0.00000008;0.00000015
1024;exponencial;8200;1600;0.00000004;0.00000001
1024;exponencial;7000;1600;0.00000004;0.00000001
1024;exponencial;8000;52600;0.00000004;0.00000028
1024;exponencial;8000;51100;0.00000004;0.00000028
1024;exponencial;7800;39100;0.00000004;0.00000021
1024;exponencial;7000;1800;0.00000004;0.00000001
2048;exponencial;9000;1600;0.00000004;0.00000001
2048;exponencial;7600;1600;0.00000004;0.00000001
2048;exponencial;8800;66100;0.00000004;0.00000034
2048;exponencial;8800;64600;0.00000004;0.00000034
2048;exponencial;8600;70600;0.00000004;0.00000038
2048;exponencial;7600;1800;0.00000005;0.00000001
4096;exponencial;9800;1600;0.00000005;0.00000001
4096;exponencial;8200;3700;0.00000005;0.00000002
4096;exponencial;9600;82600;0.00000005;0.00000044
4096;exponencial;9600;81100;0.00000004;0.00000043
4096;exponencial;9400;72100;0.00000004;0.00000038
4096;exponencial;8200;3900;0.00000005;0.00000002
8192;exponencial;10600;1600;0.00000005;0.00000001
8192;exponencial;8800;5800;0.00000005;0.00000002
8192;exponencial;10400;85600;0.00000005;0.00000044
8192;exponencial;10400;87100;0.00000004;0.00000048
8192;exponencial;10200;69100;0.00000005;0.00000036
8192;exponencial;8800;6000;0.00000005;0.00000002
16384;exponencial;11400;1600;0.00000005;0.00000001
16384;exponencial;9400;7900;0.00000005;0.00000003
16384;exponencial;11200;84100;0.00000005;0.00000043
16384;exponencial;11200;93100;0.00000005;0.00000048
16384;exponencial;11000;71200;0.00000005;0.00000040
16384;exponencial;9400;8100;0.00000005;0.00000003
32768;exponencial;12200;1600;0.00000005;0.00000001
32768;exponencial;10000;10000;0.00000006;0.00000004
32768;exponencial;12000;3700;0.00000005;0.00000002
32768;exponencial;12000;114100;0.00000005;0.00000060
32768;exponencial;11800;131200;0.00000005;0.00000067
32768;exponencial;10000;10200;0.00000006;0.00000004
65536;exponencial;13000;1600;0.00000006;0.00000001
65536;exponencial;10600;16600;0.00000006;0.00000007
65536;exponencial;1000;100100;0.00000001;0.00000050
65536;exponencial;1800;163600;0.00000001;0.00000083
65536;exponencial;12600;219700;0.00000006;0.00000111
65536;exponencial;10600;16800;0.00000006;0.00000006
131072;exponencial;13000;1600;0.00000006;0.00000001
131072;exponencial;11200;20200;0.00000006;0.00000008
131072;exponencial;1000;103700;0.00000001;0.00000055
131072;exponencial;13600;12900;0.00000006;0.00000006
131072;exponencial;13400;76500;0.00000006;0.00000038
131072;exponencial;11200;20400;0.00000006;0.00000008
262144;exponencial;13800;1600;0.00000007;0.00000001
262144;exponencial;11800;20800;0.00000008;0.00000009
262144;exponencial;14400;116300;0.00000006;0.00000063
262144;exponencial;1800;4500;0.00000001;0.00000002
262144;exponencial;13400;92300;0.00000006;0.00000051
262144;exponencial;11800;21000;0.00000006;0.00000008
524288;exponencial;13800;1600;0.00000006;0.00000001
524288;exponencial;12400;24400;0.00000007;0.00000011
524288;exponencial;15200;114800;0.00000008;0.00000062
524288;exponencial;1800;4500;0.00000001;0.00000002
524288;exponencial;15000;116700;0.00000007;0.00000062
524288;exponencial;12400;24600;0.00000008;0.00000010
1048576;exponencial;13800;1600;0.00000006;0.00000001
1048576;exponencial;13000;23500;0.00000007;0.00000010
1048576;exponencial;1000;2200;0.00000001;0.00000001
1048576;exponencial;14400;103000;0.00000007;0.00000053
1048576;exponencial;15800;132100;0.00000007;0.00000071
1048576;exponencial;13000;23700;0.00000007;0.00000009
2097152;exponencial;13800;1600;0.00000007;0.00000001
2097152;exponencial;13600;30100;0.00000008;0.00000012
2097152;exponencial;1000;2200;0.00000001;0.00000001
2097152;exponencial;1800;129100;0.00000001;0.00000067
2097152;exponencial;15000;5800;0.00000008;0.00000002
2097152;exponencial;13600;30300;0.00000007;0.00000012
4194304;exponencial;13800;1600;0.00000007;0.00000001
4194304;exponencial;14200;30700;0.00000008;0.00000012
4194304;exponencial;1000;2200;0.00000001;0.00000001
4194304;exponencial;1800;116900;0.00000001;0.00000059
4194304;exponencial;1600;97800;0.00000001;0.00000050
4194304;exponencial;14200;30900;0.00000008;0.00000012
8388608;exponencial;13800;1600;0.00000008;0.00000001
8388608;exponencial;14800;37300;0.00000008;0.00000017
8388608;exponencial;1000;192300;0.00000001;0.00000100
8388608;exponencial;1800;135500;0.00000001;0.00000070
8388608;exponencial;1600;4300;0.00000001;0.00000002
8388608;exponencial;14800;33000;0.00000008;0.00000014
